,genome string,parameters,training accuracy,testing accuracy
0,NC 80 1 tanh;RC 88 1 tanh;NC 80 1 tanh;RC 88 1 tanh;FL tanh;,29226,20.12999952,20.39999962
1,NC 80 4 relu;RC 96 2 swish;NC 80 4 relu;RC 96 2 swish;FL relu;,194218,95.03833055,90.23000002
2,NC 56 1 gelu;RC 80 7 relu;NC 56 1 gelu;RC 80 7 relu;FL sigmoid;,450770,93.79666448,88.8899982
3,NC 56 2 relu;RC 32 5 tanh;NC 56 2 relu;RC 32 5 tanh;FL sigmoid;,100634,92.76499748,89.98000026
4,NC 8 2 gelu;RC 80 4 sigmoid;NC 8 2 gelu;RC 80 4 sigmoid;FL tanh;,29786,90.6883359,88.66999745
5,NC 104 3 relu;RC 56 2 sigmoid;NC 104 3 relu;RC 56 2 sigmoid;FL gelu;,105842,94.33000088,90.53000212
6,NC 4 1 tanh;RC 80 7 swish;NC 4 1 tanh;RC 80 7 swish;FL tanh;,38358,89.82999921,86.58999801
7,NC 64 6 relu;RC 4 4 swish;NC 64 6 relu;RC 4 4 swish;FL gelu;,21362,91.18333459,89.07999992
8,NC 40 3 tanh;RC 128 5 relu;NC 40 3 tanh;RC 128 5 relu;FL gelu;,313026,94.92166638,90.4399991
9,NC 80 5 swish;RC 40 1 tanh;NC 80 5 swish;RC 40 1 tanh;FL swish;,92874,92.7850008,89.05000091
10,NC 104 2 gelu;RC 64 5 gelu;NC 104 2 gelu;RC 64 5 gelu;FL relu;,366330,96.45833373,90.67999721
11,NC 4 6 gelu;RC 96 4 swish;NC 4 6 gelu;RC 96 4 swish;FL relu;,34114,91.45500064,88.1099999
12,NC 16 5 tanh;RC 128 7 sigmoid;NC 16 5 tanh;RC 128 7 sigmoid;FL relu;,262650,92.23666787,89.13999796
13,NC 96 1 sigmoid;RC 64 7 tanh;NC 96 1 sigmoid;RC 64 7 tanh;FL swish;,614762,84.97499824,83.06000233
14,NC 112 1 swish;RC 56 2 relu;NC 112 1 swish;RC 56 2 relu;FL swish;,62538,55.52666783,54.65000272
15,NC 8 2 relu;RC 24 4 swish;NC 8 2 relu;RC 24 4 swish;FL relu;,9514,90.9316659,89.24999833
16,NC 64 3 swish;RC 24 1 tanh;NC 64 3 swish;RC 24 1 tanh;FL relu;,20602,89.49166536,86.68000102
17,NC 56 6 gelu;RC 48 2 tanh;NC 56 6 gelu;RC 48 2 tanh;FL gelu;,125114,92.90166497,89.85000253
18,NC 4 5 tanh;RC 96 4 gelu;NC 4 5 tanh;RC 96 4 gelu;FL tanh;,29846,90.52666426,88.23000193
19,NC 80 6 tanh;RC 16 6 sigmoid;NC 80 6 tanh;RC 16 6 sigmoid;FL sigmoid;,143818,90.71000218,89.1200006
20,NC 120 4 gelu;RC 112 2 gelu;NC 120 4 gelu;RC 112 2 gelu;FL sigmoid;,334682,96.328336,91.14000201
21,NC 16 7 tanh;RC 72 3 swish;NC 16 7 tanh;RC 72 3 swish;FL swish;,84170,90.19833207,87.7300024
22,NC 48 4 tanh;RC 88 5 relu;NC 48 4 tanh;RC 88 5 relu;FL gelu;,287258,94.4016695,90.71000218
23,NC 56 2 tanh;RC 128 5 relu;NC 56 2 tanh;RC 128 5 relu;FL sigmoid;,398042,95.0666666,90.28999805
24,NC 72 2 swish;RC 120 7 swish;NC 72 2 swish;RC 120 7 swish;FL sigmoid;,891882,97.37833142,91.22999907
25,NC 128 4 gelu;RC 48 4 sigmoid;NC 128 4 gelu;RC 48 4 sigmoid;FL swish;,302506,94.68333125,90.57000279
26,NC 48 1 swish;RC 104 2 gelu;NC 48 1 swish;RC 104 2 gelu;FL sigmoid;,53866,45.91166675,45.62000036
27,NC 128 3 relu;RC 96 6 relu;NC 128 3 relu;RC 96 6 relu;FL sigmoid;,1005578,97.01833129,91.21000171
28,NC 24 1 sigmoid;RC 80 5 sigmoid;NC 24 1 sigmoid;RC 80 5 sigmoid;FL sigmoid;,104818,91.10333323,87.76000142
29,NC 88 5 relu;RC 40 7 tanh;NC 88 5 relu;RC 40 7 tanh;FL tanh;,439714,91.81500077,89.84000087
30,NC 8 6 tanh;RC 88 5 sigmoid;NC 8 6 tanh;RC 88 5 sigmoid;FL gelu;,68138,90.75166583,88.45999837
31,NC 56 6 gelu;RC 72 7 relu;NC 56 6 gelu;RC 72 7 relu;FL gelu;,548906,96.753335,90.75999856
32,NC 80 3 gelu;RC 64 5 tanh;NC 80 3 gelu;RC 64 5 tanh;FL sigmoid;,309050,92.39500165,89.25999999
33,NC 96 1 gelu;RC 40 4 tanh;NC 96 1 gelu;RC 40 4 tanh;FL gelu;,131450,84.14999843,82.05999732
34,NC 72 1 relu;RC 96 7 relu;NC 72 1 relu;RC 96 7 relu;FL gelu;,692898,95.03999949,89.56000209
35,NC 72 3 tanh;RC 96 3 sigmoid;NC 72 3 tanh;RC 96 3 sigmoid;FL relu;,195810,92.54333377,89.38999772
36,NC 56 7 sigmoid;RC 128 4 tanh;NC 56 7 sigmoid;RC 128 4 tanh;FL tanh;,594098,91.12333059,88.70000243
37,NC 80 7 gelu;RC 16 1 gelu;NC 80 7 gelu;RC 16 1 gelu;FL relu;,71898,94.52499747,89.59000111
38,NC 80 2 sigmoid;RC 72 1 sigmoid;NC 80 2 sigmoid;RC 72 1 sigmoid;FL swish;,41722,81.06666803,79.25999761
39,NC 8 1 gelu;RC 104 6 sigmoid;NC 8 1 gelu;RC 104 6 sigmoid;FL relu;,69234,91.74500108,88.91999722
40,NC 32 6 gelu;RC 72 6 tanh;NC 32 6 gelu;RC 72 6 tanh;FL swish;,256346,94.31499839,90.39999843
41,NC 64 6 swish;RC 128 5 tanh;NC 64 6 swish;RC 128 5 tanh;FL sigmoid;,717642,93.79500151,90.17999768
42,NC 4 5 sigmoid;RC 64 3 relu;NC 4 5 sigmoid;RC 64 3 relu;FL gelu;,16598,90.57666659,88.55000138
43,NC 80 4 swish;RC 48 5 sigmoid;NC 80 4 swish;RC 48 5 sigmoid;FL sigmoid;,259786,94.69833374,89.6600008
44,NC 112 6 swish;RC 104 6 tanh;NC 112 6 swish;RC 104 6 tanh;FL relu;,1271546,90.321666,88.01000118
45,NC 64 1 tanh;RC 40 5 swish;NC 64 1 tanh;RC 40 5 swish;FL sigmoid;,134938,88.47000003,85.18000245
46,NC 48 1 sigmoid;RC 80 4 tanh;NC 48 1 sigmoid;RC 80 4 tanh;FL sigmoid;,133882,89.95666504,87.07000017
47,NC 104 2 swish;RC 80 5 tanh;NC 104 2 swish;RC 80 5 tanh;FL swish;,457370,93.18500161,89.55000043
48,NC 72 5 gelu;RC 64 7 swish;NC 72 5 gelu;RC 64 7 swish;FL swish;,574754,96.57666683,90.32999873
49,NC 56 1 sigmoid;RC 8 2 gelu;NC 56 1 sigmoid;RC 8 2 gelu;FL relu;,5954,49.30333197,49.16999936
50,NC 112 7 gelu;RC 96 6 tanh;NC 112 7 gelu;RC 96 6 tanh;FL swish;,1315418,91.96333289,89.09000158
51,NC 8 4 tanh;RC 72 4 gelu;NC 8 4 tanh;RC 72 4 gelu;FL gelu;,33898,92.3183322,89.41000104
52,NC 16 1 relu;RC 120 3 swish;NC 16 1 relu;RC 120 3 swish;FL sigmoid;,46250,90.42000175,87.7300024
53,NC 16 7 gelu;RC 128 5 tanh;NC 16 7 gelu;RC 128 5 tanh;FL relu;,213882,93.26666594,89.38000202
54,NC 48 7 tanh;RC 48 3 tanh;NC 48 7 tanh;RC 48 3 tanh;FL gelu;,161466,91.07000232,88.80000114
55,NC 56 2 swish;RC 24 5 relu;NC 56 2 swish;RC 24 5 relu;FL sigmoid;,75850,94.21166778,89.34999704
56,NC 4 1 sigmoid;RC 32 1 relu;NC 4 1 sigmoid;RC 32 1 relu;FL relu;,3510,18.45500022,18.49000007
57,NC 64 1 tanh;RC 88 4 tanh;NC 64 1 tanh;RC 88 4 tanh;FL tanh;,193786,87.95999885,86.08000278
58,NC 8 1 relu;RC 32 5 sigmoid;NC 8 1 relu;RC 32 5 sigmoid;FL sigmoid;,16226,89.30666447,87.2699976
59,NC 56 3 tanh;RC 56 1 gelu;NC 56 3 tanh;RC 56 1 gelu;FL tanh;,40418,90.38166404,87.12000251
60,NC 8 6 tanh;RC 64 7 tanh;NC 8 6 tanh;RC 64 7 tanh;FL tanh;,74426,91.01833105,88.62000108
61,NC 40 2 swish;RC 64 1 tanh;NC 40 2 swish;RC 64 1 tanh;FL relu;,21370,80.32500148,78.96000147
62,NC 104 2 swish;RC 8 1 tanh;NC 104 2 swish;RC 8 1 tanh;FL tanh;,7754,78.27833295,77.7700007
63,NC 88 5 gelu;RC 8 5 tanh;NC 88 5 gelu;RC 8 5 tanh;FL relu;,57186,88.14333081,86.58999801
64,NC 4 5 swish;RC 56 6 sigmoid;NC 4 5 swish;RC 56 6 sigmoid;FL tanh;,26726,90.77166915,88.1099999
65,NC 8 3 relu;RC 120 4 relu;NC 8 3 relu;RC 120 4 relu;FL tanh;,49106,92.68000126,89.03999925
66,NC 80 5 relu;RC 48 7 relu;NC 80 5 relu;RC 48 7 relu;FL gelu;,479386,96.0950017,90.83999991
67,NC 88 2 swish;RC 128 6 sigmoid;NC 88 2 swish;RC 128 6 sigmoid;FL relu;,867482,95.23166418,90.04999995
68,NC 72 4 gelu;RC 16 4 sigmoid;NC 72 4 gelu;RC 16 4 sigmoid;FL swish;,59066,92.80166626,89.48000073
69,NC 56 6 gelu;RC 72 6 swish;NC 56 6 gelu;RC 72 6 swish;FL swish;,444074,96.17166519,90.75999856
70,NC 48 6 tanh;RC 120 4 tanh;NC 48 6 tanh;RC 120 4 tanh;FL sigmoid;,403482,90.42833447,88.59999776
71,NC 112 4 sigmoid;RC 72 4 swish;NC 112 4 sigmoid;RC 72 4 swish;FL swish;,396026,93.85166764,89.56999779
72,NC 32 4 tanh;RC 96 6 swish;NC 32 4 tanh;RC 96 6 swish;FL sigmoid;,278986,95.30166388,90.57999849
73,NC 4 6 relu;RC 48 7 swish;NC 4 6 relu;RC 48 7 swish;FL sigmoid;,30178,93.29333305,89.88999724
74,NC 80 6 sigmoid;RC 88 3 swish;NC 80 6 sigmoid;RC 88 3 swish;FL relu;,391066,94.28833127,90.21999836
75,NC 40 3 relu;RC 16 1 relu;NC 40 3 relu;RC 16 1 relu;FL gelu;,9698,88.49833608,86.26999855
76,NC 8 5 gelu;RC 16 7 gelu;NC 8 5 gelu;RC 16 7 gelu;FL tanh;,17922,92.29000211,89.05000091
77,NC 24 6 gelu;RC 40 6 relu;NC 24 6 gelu;RC 40 6 relu;FL gelu;,108458,95.39666772,90.82999825
78,NC 16 1 sigmoid;RC 72 6 tanh;NC 16 1 sigmoid;RC 72 6 tanh;FL gelu;,90314,90.42666554,87.95999885
79,NC 56 7 gelu;RC 24 7 swish;NC 56 7 gelu;RC 24 7 swish;FL swish;,203362,96.03833556,90.61999917
80,NC 88 2 tanh;RC 4 2 gelu;NC 88 2 tanh;RC 4 2 gelu;FL tanh;,6466,76.75166726,76.42999887
81,NC 16 3 tanh;RC 8 2 relu;NC 16 3 tanh;RC 8 2 relu;FL swish;,3786,85.43000221,84.39999819
82,NC 24 2 relu;RC 96 3 gelu;NC 24 2 relu;RC 96 3 gelu;FL tanh;,58842,92.9799974,88.66999745
84,NC 16 6 swish;RC 96 2 relu;NC 16 6 swish;RC 96 2 relu;FL relu;,76138,94.18833256,90.29999971
85,NC 120 6 tanh;RC 24 3 gelu;NC 120 6 tanh;RC 24 3 gelu;FL tanh;,163530,94.13499832,90.10999799
86,NC 128 7 sigmoid;RC 24 4 gelu;NC 128 7 sigmoid;RC 24 4 gelu;FL swish;,258874,94.78666782,89.63000178
87,NC 64 1 relu;RC 120 2 tanh;NC 64 1 relu;RC 120 2 tanh;FL relu;,79418,49.63833392,48.24000001
88,NC 64 2 sigmoid;RC 80 3 tanh;NC 64 2 sigmoid;RC 80 3 tanh;FL tanh;,120170,92.17500091,89.09000158
89,NC 96 3 relu;RC 48 3 tanh;NC 96 3 relu;RC 48 3 tanh;FL sigmoid;,130506,92.73166656,89.52000141
90,NC 24 4 tanh;RC 40 1 sigmoid;NC 24 4 tanh;RC 40 1 sigmoid;FL relu;,21578,88.29666376,86.08000278
91,NC 72 1 relu;RC 120 2 swish;NC 72 1 relu;RC 120 2 swish;FL tanh;,88146,84.20333266,82.10999966
92,NC 4 6 swish;RC 8 6 tanh;NC 4 6 swish;RC 8 6 tanh;FL relu;,4946,88.80000114,86.80999875
93,NC 24 1 sigmoid;RC 32 1 sigmoid;NC 24 1 sigmoid;RC 32 1 sigmoid;FL tanh;,5650,14.52333331,14.83999938
94,NC 128 5 swish;RC 88 4 sigmoid;NC 128 5 swish;RC 88 4 sigmoid;FL tanh;,653754,94.88999844,90.49999714
95,NC 8 5 sigmoid;RC 112 6 tanh;NC 8 5 sigmoid;RC 112 6 tanh;FL sigmoid;,96194,93.11500192,89.9699986
96,NC 112 2 gelu;RC 4 1 gelu;NC 112 2 gelu;RC 4 1 gelu;FL tanh;,5266,74.66166615,74.01000261
97,NC 72 5 sigmoid;RC 120 1 swish;NC 72 5 sigmoid;RC 120 1 swish;FL tanh;,245394,92.40833521,88.73999715
98,NC 32 2 tanh;RC 32 2 gelu;NC 32 2 tanh;RC 32 2 gelu;FL tanh;,15818,89.0083313,86.91999912
99,NC 8 7 gelu;RC 104 3 swish;NC 8 7 gelu;RC 104 3 swish;FL tanh;,64626,93.35666895,89.45000172
100,NC 72 6 gelu;RC 64 5 tanh;NC 72 6 gelu;RC 64 5 tanh;FL gelu;,405050,93.11833382,90.10999799
101,NC 40 2 sigmoid;RC 24 7 relu;NC 40 2 sigmoid;RC 24 7 relu;FL swish;,100970,93.25666428,89.38999772
102,NC 96 3 swish;RC 48 7 gelu;NC 96 3 swish;RC 48 7 gelu;FL relu;,499146,96.73500061,90.67000151
103,NC 32 6 tanh;RC 24 6 swish;NC 32 6 tanh;RC 24 6 swish;FL gelu;,86906,93.46166849,90.10999799
104,NC 24 5 relu;RC 80 5 relu;NC 24 5 relu;RC 80 5 relu;FL relu;,151474,95.56833506,90.78999758
105,NC 8 3 tanh;RC 80 2 tanh;NC 8 3 tanh;RC 80 2 tanh;FL sigmoid;,17666,86.5316689,85.06000042
106,NC 120 7 gelu;RC 56 7 swish;NC 120 7 gelu;RC 56 7 swish;FL tanh;,999778,96.67999744,91.10000134
107,NC 16 4 relu;RC 72 4 tanh;NC 16 4 relu;RC 72 4 tanh;FL swish;,61754,92.07666516,89.1900003
108,NC 120 4 swish;RC 96 2 gelu;NC 120 4 swish;RC 96 2 gelu;FL swish;,287418,95.43499947,90.72999954
109,NC 24 4 tanh;RC 8 1 relu;NC 24 4 tanh;RC 8 1 relu;FL relu;,5386,86.45666838,84.82999802
110,NC 4 4 sigmoid;RC 48 6 gelu;NC 4 4 sigmoid;RC 48 6 gelu;FL swish;,21266,91.71833396,88.94000053
